epoch_type,percentage,condition,animal,percentage_all,experiment
1,0.575,600,5,0.15333333333333332,noise
2,0.4,600,5,0.10666666666666667,noise
3,0.025,600,5,0.006666666666666667,noise
1,0.6363636363636364,900,5,0.07,noise
2,0.36363636363636365,900,5,0.04,noise
1,0.7931034482758621,600,63,0.46,noise
2,0.1724137931034483,600,63,0.1,noise
3,0.034482758620689655,600,63,0.02,noise
1,0.8493150684931506,900,63,0.62,noise
2,0.0547945205479452,900,63,0.04,noise
3,0.0958904109589041,900,63,0.07,noise
1,0.6101694915254238,600,200,0.23841059602649006,noise
2,0.3898305084745763,600,200,0.152317880794702,noise
1,0.6,600,233,0.20134228187919462,noise
2,0.4,600,233,0.1342281879194631,noise
1,0.5833333333333334,900,233,0.07,noise
2,0.4166666666666667,900,233,0.05,noise
1,0.8367346938775511,600,100,0.2733333333333333,noise
2,0.14285714285714285,600,100,0.04666666666666667,noise
3,0.02040816326530612,600,100,0.006666666666666667,noise
1,0.88,900,100,0.22,noise
2,0.04,900,100,0.01,noise
3,0.08,900,100,0.02,noise
1,0.3076923076923077,600,259,0.02666666666666667,noise
2,0.6923076923076923,600,259,0.06,noise
1,0.6842105263157895,600,284,0.17333333333333334,noise
2,0.3157894736842105,600,284,0.08,noise
1,0.8846153846153846,900,284,0.23,noise
2,0.038461538461538464,900,284,0.01,noise
3,0.07692307692307693,900,284,0.02,noise
1,0.6756756756756757,600,17,0.16556291390728478,noise
2,0.32432432432432434,600,17,0.07947019867549669,noise
1,0.5,900,17,0.06,noise
2,0.25,900,17,0.03,noise
3,0.25,900,17,0.03,noise
1,0.4691358024691358,600,11,0.2773722627737226,noise
2,0.5308641975308642,600,11,0.31386861313868614,noise
1,0.5846153846153846,900,11,0.37623762376237624,noise
2,0.24615384615384617,900,11,0.15841584158415842,noise
3,0.16923076923076924,900,11,0.10891089108910891,noise
1,0.5294117647058824,600,110,0.23841059602649006,noise
2,0.45588235294117646,600,110,0.2052980132450331,noise
3,0.014705882352941176,600,110,0.006622516556291391,noise
1,0.8333333333333334,900,110,0.4,noise
2,0.14583333333333334,900,110,0.07,noise
3,0.020833333333333332,900,110,0.01,noise
1,0.21739130434782608,600,280,0.03333333333333333,noise
2,0.782608695652174,600,280,0.12,noise
1,0.75,600,178,0.07947019867549669,noise
2,0.25,600,178,0.026490066225165563,noise
1,0.875,600,185,0.09210526315789473,noise
2,0.125,600,185,0.013157894736842105,noise
1,0.9565217391304348,900,185,0.20952380952380953,noise
2,0.043478260869565216,900,185,0.009523809523809525,noise
1,0.851063829787234,600,191,0.26666666666666666,noise
2,0.1276595744680851,600,191,0.04,noise
3,0.02127659574468085,600,191,0.006666666666666667,noise
1,0.7857142857142857,900,191,0.1111111111111111,noise
2,0.21428571428571427,900,191,0.030303030303030304,noise
1,0.7419354838709677,600,184,0.152317880794702,noise
2,0.1935483870967742,600,184,0.039735099337748346,noise
3,0.06451612903225806,600,184,0.013245033112582781,noise
1,0.42857142857142855,900,184,0.03,noise
2,0.42857142857142855,900,184,0.03,noise
3,0.14285714285714285,900,184,0.01,noise
1,0.8561151079136691,600,195,0.7933333333333333,noise
2,0.06474820143884892,600,195,0.06,noise
3,0.07913669064748201,600,195,0.07333333333333333,noise
1,0.7349397590361446,900,195,0.6288659793814433,noise
2,0.012048192771084338,900,195,0.010309278350515464,noise
3,0.25301204819277107,900,195,0.21649484536082475,noise
1,0.7160493827160493,600,186,0.38666666666666666,noise
2,0.20987654320987653,600,186,0.11333333333333333,noise
3,0.07407407407407407,600,186,0.04,noise
1,0.6923076923076923,900,186,0.1782178217821782,noise
2,0.19230769230769232,900,186,0.04950495049504951,noise
3,0.11538461538461539,900,186,0.0297029702970297,noise
1,0.5,600,176,0.09333333333333334,noise
2,0.5,600,176,0.09333333333333334,noise
1,0.7931034482758621,900,176,0.23,noise
2,0.1724137931034483,900,176,0.05,noise
3,0.034482758620689655,900,176,0.01,noise
1,0.7567567567567568,600,179,0.18666666666666668,noise
2,0.24324324324324326,600,179,0.06,noise
1,0.5882352941176471,900,179,0.1,noise
2,0.17647058823529413,900,179,0.03,noise
3,0.23529411764705882,900,179,0.04,noise
1,0.25,600,1,0.013333333333333334,noise
2,0.75,600,1,0.04,noise
1,0.125,900,1,0.01,noise
2,0.75,900,1,0.06,noise
3,0.125,900,1,0.01,noise
1,0.6106194690265486,600,22,0.46,sc
2,0.168141592920354,600,22,0.12666666666666668,sc
3,0.22123893805309736,600,22,0.16666666666666666,sc
1,0.2191780821917808,900,22,0.15841584158415842,sc
2,0.2054794520547945,900,22,0.1485148514851485,sc
3,0.5753424657534246,900,22,0.4158415841584158,sc
1,0.6888888888888889,600,26,0.41333333333333333,sc
2,0.3,600,26,0.18,sc
3,0.011111111111111112,600,26,0.006666666666666667,sc
1,0.6818181818181818,900,26,0.594059405940594,sc
2,0.14772727272727273,900,26,0.12871287128712872,sc
3,0.17045454545454544,900,26,0.1485148514851485,sc
1,0.75,600,29,0.04,sc
2,0.25,600,29,0.013333333333333334,sc
1,0.7941176470588235,900,29,0.26732673267326734,sc
2,0.14705882352941177,900,29,0.04950495049504951,sc
3,0.058823529411764705,900,29,0.019801980198019802,sc
1,0.875,900,32,0.13861386138613863,sc
2,0.125,900,32,0.019801980198019802,sc
1,0.9291338582677166,600,113,0.7866666666666666,sc
2,0.07086614173228346,600,113,0.06,sc
1,0.7065217391304348,900,113,0.6435643564356436,sc
2,0.043478260869565216,900,113,0.039603960396039604,sc
3,0.25,900,113,0.22772277227722773,sc
1,0.8571428571428571,600,114,0.56,sc
2,0.12244897959183673,600,114,0.08,sc
3,0.02040816326530612,600,114,0.013333333333333334,sc
1,0.6896551724137931,900,114,0.39603960396039606,sc
2,0.1206896551724138,900,114,0.06930693069306931,sc
3,0.1896551724137931,900,114,0.10891089108910891,sc
1,0.6511627906976745,600,118,0.37333333333333335,sc
2,0.3488372093023256,600,118,0.2,sc
1,0.6818181818181818,900,118,0.594059405940594,sc
2,0.14772727272727273,900,118,0.12871287128712872,sc
3,0.17045454545454544,900,118,0.1485148514851485,sc
1,0.45,600,123,0.06,sc
2,0.55,600,123,0.07333333333333333,sc
1,0.43478260869565216,900,123,0.09900990099009901,sc
2,0.5652173913043478,900,123,0.12871287128712872,sc
1,0.7254901960784313,600,129,0.49333333333333335,sc
2,0.27450980392156865,600,129,0.18666666666666668,sc
1,0.8163265306122449,900,129,0.39603960396039606,sc
2,0.10204081632653061,900,129,0.04950495049504951,sc
3,0.08163265306122448,900,129,0.039603960396039604,sc
1,0.868421052631579,600,133,0.22,sc
2,0.13157894736842105,600,133,0.03333333333333333,sc
1,0.7894736842105263,900,133,0.1485148514851485,sc
2,0.15789473684210525,900,133,0.0297029702970297,sc
3,0.05263157894736842,900,133,0.009900990099009901,sc
1,0.7403846153846154,600,1,0.5133333333333333,sc
2,0.22115384615384615,600,1,0.15333333333333332,sc
3,0.038461538461538464,600,1,0.02666666666666667,sc
1,0.611764705882353,900,1,0.5148514851485149,sc
2,0.15294117647058825,900,1,0.12871287128712872,sc
3,0.23529411764705882,900,1,0.19801980198019803,sc
1,0.8214285714285714,600,11,0.6133333333333333,sc
2,0.125,600,11,0.09333333333333334,sc
3,0.05357142857142857,600,11,0.04,sc
1,0.5858585858585859,900,11,0.5742574257425742,sc
2,0.030303030303030304,900,11,0.0297029702970297,sc
3,0.3838383838383838,900,11,0.37623762376237624,sc
1,0.7843137254901961,600,18,0.26666666666666666,sc
2,0.21568627450980393,600,18,0.07333333333333333,sc
1,0.7142857142857143,900,18,0.04950495049504951,sc
2,0.2857142857142857,900,18,0.019801980198019802,sc
1,0.7310924369747899,600,2,0.58,sc
2,0.23529411764705882,600,2,0.18666666666666668,sc
3,0.03361344537815126,600,2,0.02666666666666667,sc
1,0.7125,900,2,0.5643564356435643,sc
2,0.0875,900,2,0.06930693069306931,sc
3,0.2,900,2,0.15841584158415842,sc
1,0.6989247311827957,600,7,0.43333333333333335,sc
2,0.25806451612903225,600,7,0.16,sc
3,0.043010752688172046,600,7,0.02666666666666667,sc
1,0.7160493827160493,900,7,0.5742574257425742,sc
2,0.1111111111111111,900,7,0.0891089108910891,sc
3,0.1728395061728395,900,7,0.13861386138613863,sc
1,0.6166666666666667,600,9,0.24666666666666667,sc
2,0.3333333333333333,600,9,0.13333333333333333,sc
3,0.05,600,9,0.02,sc
1,0.6037735849056604,900,9,0.31683168316831684,sc
2,0.18867924528301888,900,9,0.09900990099009901,sc
3,0.20754716981132076,900,9,0.10891089108910891,sc
